strain,replicate,sampling_date,time,chla_conc_spectro,dilution,440nm_max,470nm_max,532nm_max,440nm_mean,470nm_mean,532nm_mean,numb_events,dilution_cyto,facteur dilution,flow_rate(µL/min),number_cells,filtered_volume,diameter,replicate_number,gain,F0,Fmd,Fm,Fv/Fm,f0_440,f0_480,f0_540,f0_590,f0_625,cruise_or_project,sample_code,culture,filtered_vol_l,chlorophyll_c3,chlc3_qa,mg_dvp,mg_dvp_qa,chlorophyll_c1_c2_mg_dvp,chlc2_qa,sum_chlorophyllid_a,chlda_qa,peridinin,peri_qa,sum_phaeophorbid_a,phda_qa,x19_butanoyloxyfucoxanthin,but_qa,fucoxanthin,fuco_qa,diadinoxanthin,diadino_qa,diatoxanthin,diato_qa,zeaxanthin,zea_qa,bacteriochlorophyll_a,bchla_qa,divinyl_chlorophyll_b,dv_chlb_qa,chlorophyll_b,chlb_qa,t_chlb,t_chlb_qa,divinyl_chlorophyll_a,dv_chla_qa,chlorophyll_a,chla_qa,total_chlorophyll_a,tchla_qa,sum_phaeophytin_a,phytna_qa,a_carotene,a_car_qa,b_carotene,b_car_qa,sum_carotenes,tcar_qa
RCC2379,A,2020-10-28T00:00:00Z,1899-12-31T14:45:00Z,49.28,Cmere,NA,NA,NA,NA,NA,NA,8539,0.01,100,34.13333333333333,25016601.5625,NA,NA,NA,14,1094,"NA",2694,0.5939123979213066,424,645,1094,575,531,MANIP_EFFICACY_FPETIT2020,RCC2379_A_DM,Synechococcus sp.,0.01,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,41.1638,1,0.142,1,0,1,0,1,0,1,0,1,54.1814,1,54.1814,1,0,1,0,1,5.0659,1,5.0659,1
RCC2379,A,2020-10-28T00:00:00Z,1899-12-31T14:45:00Z,27.266000000000005,1,207,303,158,200.642857142857,298.007142857142,152.192857142857,8643,0.1,10,34.13333333333333,2532128.90625,NA,NA,NA,18,1448,"NA",2306,0.3720728534258456,724,721,1448,1570,1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,A,2020-10-28T00:00:00Z,1899-12-31T15:12:00Z,5.453200000000001,2,186,135,121,179.673611111111,130.715277777777,116.805555555555,18164,"NA",1,34.13333333333333,532148.4375,NA,NA,NA,18,1033,"NA",1221,0.15397215397215397,568,462,1033,1403,1248,MANIP_EFFICACY_FPETIT2020,RCC2379_A_D2,Synechococcus sp.,0.99503,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.8242,1,0.0042,1,0,1,0,1,0,1,0,1,1.0939,1,1.0939,1,0,1,0,1,0.1015,1,0.1015,1
RCC2379,A,2020-10-28T00:00:00Z,1899-12-31T15:43:00Z,1.3633000000000002,3,146,104,298,140.435714285714,91.2571428571428,134.246428571428,8854,"NA",1,34.13333333333333,259394.53125,NA,NA,NA,18,1004,"NA",1071,0.06255835667600373,567,439,1004,1412,1286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,A,2020-10-28T00:00:00Z,1899-12-31T16:14:00Z,0.2723876123876124,4,440,470,532,110.747292418772,73.2815884476534,70.4657039711191,908,"NA",1,34.13333333333333,26601.5625,NA,NA,NA,18,952,"NA",950,-0.002105263157894737,549,411,952,1396,1236,MANIP_EFFICACY_FPETIT2020,RCC2379_A_D4,Synechococcus sp.,0.99503,0,1,0,1,0.008,1,0,1,0,1,0,1,0,1,0.0505,1,0.0058,1,0,1,0.0419,1,0,1,0,1,0,1,0,1,0,1,0.1354,1,0.1354,1,0,1,0,1,0.0062,1,0.0062,1
RCC2379,A,2020-10-28T00:00:00Z,1899-12-31T16:44:00Z,0.13626186906546728,5,159,82,78,153.612676056338,77.9014084507042,74.0985915492957,875,"NA",1,34.13333333333333,25634.765625,NA,NA,NA,18,962,"NA",951,-0.011566771819137749,555,415,962,1401,1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,B,2020-10-30T00:00:00Z,1899-12-31T14:18:00Z,37.91,Cmere,NA,NA,NA,NA,NA,NA,7244,0.01,100,34.13333333333333,21222656.25,NA,NA,NA,15,1534,"NA",3656,0.5804157549234136,601,897,1534,813,747,MANIP_EFFICACY_FPETIT2020,RCC2379_B_DM,Synechococcus sp.,0.03,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,12.7559,1,0.0553,1,0,1,0,1,0,1,0,1,16.8984,1,16.8984,1,0,1,0,1,1.5751,1,1.5751,1
RCC2379,B,2020-10-30T00:00:00Z,1899-12-31T14:18:00Z,5.686656000000001,1,182,341,153,177.079754601227,335.21472392638,146.926380368098,11723,0.1,10,34.13333333333333,3434472.65625,NA,NA,NA,18,1556,"NA",2665,0.41613508442776737,755,798,1556,1540,1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,B,2020-10-30T00:00:00Z,1899-12-31T14:42:00Z,1.1373312000000002,2,110,124,89,105.994413407821,117.418994413407,83.340782122905,23588,"NA",1,34.13333333333333,691054.6875,NA,NA,NA,18,1094,"NA",1319,0.17058377558756635,604,506,1094,1436,1299,MANIP_EFFICACY_FPETIT2020,RCC2379_B_D2,Synechococcus sp.,0.99503,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1.1312,1,0.0049,1,0,1,0,1,0,1,0,1,1.521,1,1.521,1,0,1,0,1,0.1429,1,0.1429,1
RCC2379,B,2020-10-30T00:00:00Z,1899-12-31T14:59:00Z,0.37911040000000007,3,85,88,76,80.8741721854304,82.3178807947019,71.2251655629139,8575,"NA",1,34.13333333333333,251220.703125,NA,NA,NA,18,983,"NA",1053,0.06647673314339982,561,433,983,1371,1221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
