bouss,ctd_number,way,depth,year,pres,temp,conductivity,fluo_chl,fluo_flbb,bb700,cdom,fluo_440,fluo_470,fluo_532,month,f440_f470,f532_f470,prof_id,date,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,t_chlb,dv_chla,chla,t_chla,chla_470,chla_440,depth_id,campagne_id,pico_pk,pico_e,syn,proch,pico_e1,pico_e2,pico_e3,nano_pk,nano_e,crypto_like,nano_e1,nano_e2,nsk_num,ct,poc,pic
225,1,asc,5,2020,5.195484193548363,15.020664516129033,4.622662129032258,0.31716129032258067,67.46428571428571,143.90361445783134,56.67469879518072,65.45454545454545,103.73563218390804,57.24418604651163,NA,0.6309745656006044,0.5518276106422727,B_225_1_asc,2020-12-09,0.0436,0.0375,0.0062,0.0543,0.0346,0.0023,0.0021,0.0025,0.105,0.0263,0.0068,0.0018,0.0296,0.0011,0.0052,0.0286,0.0338,0.0379,0.3252,0.363,0.7261494252873563,0.4581818181818182,surf,B_225,47.4272306397307,1.38973063973064,14.5547558922559,30.9054713804714,0.481060606060606,0.69486531986532,0.208459595959596,0.706624579124579,0.596515151515152,0.0534511784511785,0.419057239057239,0.176388888888889,3,37.5272727272727,38.4981818181818,0
225,1,asc,40,2020,40.035022099999985,14.959752173913044,4.618822782608696,0.4110695652173913,99.70212765957449,138.4255319148936,58.744680851063826,92.97916666666669,101.58333333333331,57.12765957446808,NA,0.9152994257588188,0.5623723666067408,B_225_1_asc,2020-12-09,0.0472,0.0421,0.0062,0.0602,0.0386,0.0026,0.0022,0.0022,0.1138,0.0155,0.0045,0,0.0294,0.0016,0.0101,0.0324,0.0425,0.0446,0.3377,0.3823,0.7110833333333332,0.6508541666666668,dcm,B_225,45.8702466948344,1.56533686018943,14.1147439748139,29.7681125767083,0.512874875693467,0.897531032463566,0.128218718923367,0.653173400673401,0.54199494949495,0.0726936026936027,0.400883838383839,0.13790404040404,2,40.3309090909091,33.92,6.41090909090909
225,1,asc,60,2020,59.94516695555554,14.919328571428572,4.615585142857143,0.3819095238095238,93.8095238095238,134.33333333333334,61.476190476190474,81.85714285714286,96.71428571428572,58.19047619047619,NA,0.8463810930576072,0.601674052191039,B_225_1_asc,2020-12-09,0.0236,0.0323,0.0041,0.038,0.0166,0.0012,0.0014,9e-4,0.0572,0.0052,0.0017,0,0.0161,0,0.0883,0.0206,0.1089,0.0618,0.1545,0.2163,0.677,0.5730000000000001,sdcm,B_225,37.717673149957,1.25547495612463,3.85190401432281,32.3324869551756,0.325889243930223,0.806709439892848,0.112191379057946,0.276849419435161,0.20630091872967601,0.0352742503527425,0.188129335214627,0.0171026668376933,1,16.7054545454545,19.0181818181818,0
226,3,asc,5,2021,5.342546384615355,13.6548,4.4984861,0.543305,112.58823529411764,170.41176470588235,57.23529411764706,100.17647058823528,117.52941176470588,59.35294117647059,1,0.8523523523523523,0.505005005005005,B_226_3_asc,2021-01-18,0.0773,0.0591,0.0106,0.0765,0.0609,0.0069,0.0137,0.0061,0.154,0.05,0.0305,0.0154,0.0381,0.0038,0.0043,0.0634,0.0677,0.0422,0.5861,0.6283,0.8227058823529412,0.701235294117647,surf,B_226,65.0656574069868,5.85532149750041,20.1036266378595,38.1771235594324,2.90629096226298,2.72999022374335,0.117533825679753,1.19611776196118,0.905372425720391,0.226610335599437,0.722587673892544,0.178509085118424,3,40.7745454545455,44.6227272727273,0
226,3,asc,25,2021,24.959374423076923,13.620495294117648,4.495662752941176,0.7339294117647058,154.8735632183908,168.54022988505747,58.9080459770115,132.52747252747253,154.5164835164835,60.51648351648352,1,0.8576914870919565,0.391650664959818,B_226_3_asc,2021-01-18,0.0943,0.0695,0.0105,0.0923,0.0766,0.0082,0.0171,0.0066,0.1847,0.0264,0.0274,0.0055,0.0402,0.0026,0.0062,0.0779,0.0841,0.0471,0.6745,0.7216,1.0816153846153846,0.9276923076923076,dcm,B_226,68.9947811447812,6.30189393939394,20.8887205387205,41.1306818181818,3.13758417508418,2.91843434343434,0.203114478114478,0.8978900089789,0.723656590569899,0.120787584541209,0.529113755291138,0.187060418537271,2,38.9745454545454,40.0036363636364,0
226,3,asc,40,2021,39.65025919999984,13.692833333333333,4.507671666666667,0.4563666666666667,80,137.5,58,75.5,80,54.5,1,0.94375,0.68125,B_226_3_asc,2021-01-18,0.0509,0.0549,0.0029,0.066,0.0536,0.0052,0.0107,0.0028,0.1096,0.013,0.005,0.0019,0.0278,0.0016,0.0075,0.051,0.0585,0.0375,0.3865,0.4239,0.56,0.5285,sdcm,B_226,53.0825496342738,4.6960105805683,16.5348722944925,31.0876968922946,2.41478587305674,2.14232109534458,0.12287627230156,0.762061392435318,0.646629933272605,0.0577157295813565,0.527992044688706,0.115431459162713,1,25.7854545454545,21.3781818181818,4.40727272727273
227,1,asc,5,2021,5.253965294117642,13.403039583333332,4.498628229166667,0.364065625,71.57291666666667,135.2421052631579,56,78.90196078431373,88.37623762376238,66.03,NA,0.89279610567059,0.7471465382030025,B_227_1_asc,2021-02-15,0.0538,0.0333,0.0213,0.0275,0.063,0.0058,0.0132,0.0036,0.0806,0.033,0.0293,0.0046,0.0127,0.002,0,0.0498,0.0498,0,0.4646,0.4646,0.6186336633663366,0.5523137254901961,surf,B_227,25.4748316498317,5.33977272727273,7.50989057239057,11.748569023569,4.04090909090909,1.19196127946128,0.0908670033670034,0.585766339190997,0.393361337266947,0.163544251635443,0.316399336497327,0.07696200076962,3,33.4521212121212,34.7369696969697,0
227,1,asc,30,2021,29.722144161290306,13.37321052631579,4.496392421052631,0.5023578947368421,163.54545454545453,167.1818181818182,99.72727272727272,100.41666666666669,110.91666666666669,57.083333333333336,NA,0.9053343350864012,0.5146506386175808,B_227_1_asc,2021-02-15,0.0592,0.0357,0.0223,0.0298,0.0763,0.0082,0.0155,0.0054,0.0902,0.0288,0.0319,0.0022,0.0134,0.0017,0,0.0522,0.0522,0,0.5362,0.5362,0.7764166666666669,0.7029166666666669,dcm,B_227,25.2911423076341,4.81354440624806,8.05640950568487,11.6251638490519,3.98012273324617,0.710545400700323,0.0854791459489111,0.794125686647182,0.546161811408762,0.171009569129945,0.426455113017801,0.119706698390962,2,37.7975757575758,29.1115151515152,8.6860606060606
227,1,asc,60,2021,60.271029545454475,13.391228571428572,4.5002726428571425,0.46035,102.125,136.875,55.25,90.71428571428572,102.28571428571428,57.285714285714285,NA,0.8868715083798882,0.5600558659217877,B_227_1_asc,2021-02-15,0.0476,0.0298,0.0156,0.0254,0.0634,0.0071,0.0125,0.0033,0.0765,0.0157,0.0242,0.0011,0.0104,0.0011,0,0.0412,0.0412,0,0.4449,0.4449,0.716,0.6350000000000001,sdcm,B_227,24.8940453485908,5.47861229679412,7.33685506412779,11.6834344107071,4.19706556070193,1.08931472567836,0.138834229743321,0.751448424181151,0.488494921551616,0.195611751956118,0.362362753623628,0.12399433457327701,1,27.0775757575758,23.2242424242424,3.85333333333333
228,3,asc,5,2021,4.984112992700725,13.509916176470588,4.500206558823529,1.4716676470588237,264.1666666666667,216.98305084745763,64.44067796610169,228.8615384615385,277.4923076923077,72.5,NA,0.8247491267949215,0.2612685036314243,B_228_3_asc,2021-03-03,0.2785,0.2007,0.0869,0.081,0.3388,0.0175,0.0351,0,0.5716,0.2164,0.1407,0.0253,0.0293,0.0087,0,0.1185,0.1185,0,2.045,2.0756,1.942446153846154,1.6020307692307694,surf,B_228,47.8309246050376,10.2040730476513,22.4543031514546,14.5100850248277,6.90778348199638,2.6925930973907,0.486162642584432,4.84433038177664,4.00950645676173,0.74396600743966,2.54829735881631,1.45158884784922,3,143.261818181818,142.325,0.936818181818182
