pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,frame,frale_syn,sn,counter,counter_down,v_main,q_asummary,numerici_qa,hex_qa,beta700_wave,chl_lo_gain,chl_5_volt,chl_ltc,chl_raw,chl_micro_l,chl_hi_gain,chl_em_wave,chl_lo_gain_2,chl_5_volt_2,chl_ltc_2,chl_raw_2,chl_micro_l_2,chl_hi_gain_2,chl_em_wave_2,fdom_lo_gain,chl_5_volt_3,date,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
503.529,13H 23M 50.4789999999994S,13.6176,4.562261,2.2153,0.1141,1.8418294,13.602255,13.543,38.6233,29.0888,3.3485,145.319,0,48230.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
502.696,13H 23M 51.4789999999994S,13.621,4.562624,2.2163,0.1213,1.8412698,13.59952,13.5466,38.6236,29.0883,3.3518,145.462,0,48231.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
501.972,13H 23M 52.4789999999994S,13.6202,4.562492,2.2166,0.1318,1.8412698,13.600888,13.5459,38.6236,29.0884,3.3493,145.354,0,48232.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
502.299,13H 23M 53.4789999999994S,13.6184,4.562296,2.2162,0.1439,1.8415242,13.601572,13.544,38.6234,29.0887,3.3495,145.362,0,48233.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
503.218,13H 23M 54.4789999999994S,13.617,4.562164,2.2169,0.1512,1.8416768,13.59952,13.5425,38.6231,29.0888,3.3518,145.462,0,48234.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
503.372,13H 23M 55.4789999999994S,13.6184,4.562339,2.2163,0.1499,1.8416259,13.600204,13.5438,38.6233,29.0886,3.3457,145.196,0,48235.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
502.708,13H 23M 56.4789999999994S,13.619,4.562372,2.215,0.138,1.8410663,13.598836,13.5445,38.6233,29.0885,3.3436,145.106,0,48236.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
502.813,13H 23M 57.4789999999994S,13.6186,4.56236,2.2145,0.1422,1.8413715,13.600204,13.5442,38.6235,29.0887,3.3459,145.205,0,48237.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
503.148,13H 23M 58.4789999999994S,13.6199,4.562517,2.2151,0.144,1.8412698,13.59952,13.5454,38.6235,29.0885,3.3486,145.321,0,48238.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
502.619,13H 23M 59.4789999999994S,13.6193,4.5624,2.2155,0.1276,1.8414224,13.59952,13.5449,38.6233,29.0884,3.3478,145.287,0,48239.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
