pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
100.961,8H 17M 9.47899999999936S,13.5021,4.518805,2.5441,0.2477,1.6903236,13.499646,13.4874,38.5064,29.01,3.8778,168.301,0,29829.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.806,8H 17M 10.4789999999994S,13.5003,4.518581,2.5434,0.2519,1.6899166,13.50033,13.4857,38.506100000000004,29.0101,3.8686,167.901,0,29830.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.537,8H 17M 11.4789999999994S,13.5103,4.520013,2.5407,0.2426,1.6901201,13.503751,13.4957,38.5098,29.0109,3.8602,167.534,0,29831.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.445,8H 17M 12.4789999999994S,13.5172,4.520722,2.5396,0.238,1.6906797,13.511962,13.5026,38.5097,29.0093,3.8661,167.794,0,29832.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.654,8H 17M 13.4789999999994S,13.5053,4.519211,2.5409,0.2385,1.6914428,13.501698,13.4907,38.5072,29.0099,3.8721,168.052,0,29833.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.821,8H 17M 14.4789999999994S,13.5024,4.518902,2.542,0.247,1.6913919,13.50033,13.4878,38.507,29.0105,3.8748,168.17,0,29834.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.742,8H 17M 15.4789999999994S,13.5025,4.518873,2.5427,0.2542,1.6907814,13.50033,13.4879,38.5067,29.0101,3.8696,167.944,0,29835.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.611,8H 17M 16.4789999999994S,13.5106,4.519999,2.5399,0.2403,1.6909849,13.505804,13.496,38.5094,29.0105,3.8537,167.253,0,29836.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.565,8H 17M 17.4789999999994S,13.5269,4.52185,2.5358,0.2305,1.6911376,13.512646,13.5123,38.5107,29.008,3.847,166.966,0,29837.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
100.645,8H 17M 18.4789999999994S,13.5161,4.520597,2.5339,0.2315,1.6914428,13.511277,13.5015,38.5095,29.0095,3.8499,167.089,0,29838.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
