pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.873,13H 34M 34.4789999999994S,13.6309,4.512741,3.0104,1.0469,1.522792,13.610462,13.6306,38.3638,28.869,4.7755,207.288,0,48874.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.732,13H 34M 35.4789999999994S,13.6271,4.512371,3.0109,1.1052,1.5229955,13.611146,13.6268,38.3641,28.8701,4.7747,207.256,0,48875.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.772,13H 34M 36.4789999999994S,13.6361,4.513198,3.0097,1.1178,1.5228429,13.613881,13.6358,38.363,28.8673,4.7685,206.984,0,48876.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.898,13H 34M 37.4789999999994S,13.6226,4.511687,3.0081,1.1187,1.5230464,13.61183,13.6223,38.362,28.8694,4.7658,206.869,0,48877.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.827,13H 34M 38.4789999999994S,13.6105,4.510733,3.0053,1.1047,1.5230464,13.611146,13.6101,38.3652,28.8744,4.7614,206.677,0,48878.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.711,13H 34M 39.4789999999994S,13.62,4.511216,3.0052,1.1093,1.5233008,13.609778,13.6198,38.3603,28.8686,4.7688,206.999,0,48879.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.763,13H 34M 40.4789999999994S,13.61,4.510477,3.0068,1.147,1.5228429,13.614565,13.6097,38.3632,28.873,4.7742000000000004,207.231,0,48880.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.927,13H 34M 41.4789999999994S,13.6077,4.510322,3.0078,1.1264,1.5231481,13.612514,13.6074,38.3639,28.8741,4.7729,207.176,0,48881.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.912,13H 34M 42.4789999999994S,13.6075,4.510218,3.0068,1.106,1.523199,13.611146,13.6072,38.3632,28.8735,4.7666,206.901,0,48882.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.758,13H 34M 43.4789999999994S,13.6175,4.511418,3.0061,1.1212,1.5233007,13.61183,13.6172,38.3647,28.8726,4.7705,207.073,0,48883.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.745,13H 34M 44.4789999999994S,13.6075,4.510255,3.0084,1.1228,1.5229955,13.615249,13.6072,38.3636,28.8738,4.7817,207.557,0,48884.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
