pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
2.825,9H 22M 51.4789999999994S,13.551,4.504254,3.0486,1.8443,1.5137871,13.50033,13.5506,38.3627,28.8852,4.8624,211.059,0,33771.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.837,9H 22M 52.4789999999994S,13.5498,4.504172,3.0498,1.8266,1.5137363,13.499646,13.5494,38.3632,28.8858,4.8675,211.28,0,33772.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.868,9H 22M 53.4789999999994S,13.5497,4.504126,3.0502,1.8009,1.5137362,13.50033,13.5493,38.3627,28.8855,4.8662,211.222,0,33773.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.858,9H 22M 54.4789999999994S,13.5495,4.5041,3.0494,1.84,1.5134819,13.501014,13.5491,38.3628,28.8856,4.859,210.91,0,33774.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.804,9H 22M 55.4789999999994S,13.5496,4.504109,3.0477,1.7758,1.5134819,13.501014,13.5492,38.3627,28.8855,4.8589,210.906,0,33775.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.842,9H 22M 56.4789999999994S,13.55,4.504166,3.048,1.6954,1.5136345,13.50033,13.5496,38.3628,28.8855,4.8637,211.115,0,33776.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.871,9H 22M 57.4789999999994S,13.5502,4.504191,3.0494,1.6888,1.513431,13.50033,13.5498,38.3629,28.8856,4.8709,211.426,0,33777.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.806,9H 22M 58.4789999999994S,13.5502,4.504205,3.0519,1.6732,1.513431,13.50033,13.5498,38.363,28.8856,4.8727,211.506,0,33778.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.835,9H 22M 59.4789999999994S,13.5501,4.50419,3.0519,1.6591,1.5137871,13.501698,13.5497,38.363,28.8856,4.8685,211.324,0,33779.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.909,9H 23M 0.47899999999936S,13.5499,4.50417,3.0517,1.714,1.5137362,13.508541,13.5495,38.363,28.8857,4.8699,211.383,0,33780.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.856,9H 23M 1.47899999999936S,13.5508,4.504263,3.0525,1.741,1.513024,13.515383,13.5504,38.363,28.8854,4.8704,211.405,0,33781.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.828,9H 23M 2.47899999999936S,13.5508,4.504272,3.0517,1.7046,1.513024,13.514698,13.5504,38.3631,28.8855,4.8699,211.383,0,33782.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.842,9H 23M 3.47899999999936S,13.5502,4.504153,3.0535,1.7585,1.5129222,13.512646,13.5498,38.3625,28.8852,4.8772,211.7,0,33783.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.826,9H 23M 4.47899999999936S,13.5496,4.504158,3.0544,1.7819,1.5132784,13.517435,13.5492,38.3632,28.8859,4.8777,211.724,0,33784.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.795,9H 23M 5.47899999999936S,13.5502,4.504203,3.0555,1.7829,1.5129222,13.516751,13.5498,38.363,28.8856,4.8755,211.629,0,33785.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.907,9H 23M 6.47899999999936S,13.5508,4.504253,3.0539,1.6877,1.5123117,13.518803,13.5503,38.3629,28.8854,4.8722,211.485,0,33786.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.961,9H 23M 7.47899999999936S,13.5508,4.504265,3.0552,1.6723,1.5125152,13.52496,13.5504,38.363,28.8855,4.8784,211.75,0,33787.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.765,9H 23M 8.47899999999936S,13.5485,4.503998,3.055,1.6446,1.5123626,13.522908,13.5481,38.3628,28.8858,4.8776,211.718,0,33788.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
2.714,9H 23M 9.47899999999936S,13.549,4.504084,3.0572,1.6019,1.5123117,13.518119,13.5486,38.3631,28.8859,4.8873,212.141,0,33789.479,NA,Mar,04,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
