pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
201.432,9H 4M 17.4789999999994S,13.9521,4.589105,2.2541,0.1903,1.8150183,13.932367,13.9221,38.6759,29.0481,3.277,142.22,0,32657.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
200.958,9H 4M 18.4789999999994S,13.9516,4.589021,2.2531,0.1937,1.8147639,13.931684,13.9217,38.6757,29.0481,3.276,142.174,0,32658.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
200.721,9H 4M 19.4789999999994S,13.9519,4.589055,2.2527,0.1853,1.8145095,13.929635,13.922,38.6759,29.0481,3.2771,142.225,0,32659.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
201.086,9H 4M 20.4789999999994S,13.9516,4.589014,2.2533,0.1883,1.8153235,13.929635,13.9216,38.6757,29.048,3.281,142.394,0,32660.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
201.336,9H 4M 21.4789999999994S,13.9491,4.588722,2.2542,0.197,1.8148657,13.931001,13.9191,38.6753,29.0483,3.2826,142.462,0,32661.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
201.061,9H 4M 22.4789999999994S,13.9507,4.588899,2.2546,0.2029,1.8152218,13.934416,13.9207,38.6755,29.0481,3.2822,142.447,0,32662.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
200.511,9H 4M 23.4789999999994S,13.9491,4.588586,2.255,0.2051,1.8151201,13.929635,13.9192,38.6744,29.0476,3.2825,142.458,0,32663.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
200.092,9H 4M 24.4789999999994S,13.9483,4.588487,2.2548,0.2078,1.8146622,13.928269,13.9185,38.6744,29.0478,3.2797,142.338,0,32664.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
199.86,9H 4M 25.4789999999994S,13.9489,4.588564,2.2543,0.205,1.8144587,13.928269,13.9192,38.6746,29.0478,3.2798,142.34,0,32665.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
199.229,9H 4M 26.4789999999994S,13.9475,4.588286,2.2547,0.1959,1.8133394,13.928952,13.9179,38.6737,29.0473,3.2844,142.541,0,32666.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
198.276,9H 4M 27.4789999999994S,13.9438,4.58772,2.2562,0.1941,1.8138482,13.926903,13.9143,38.6725,29.0472,3.2861,142.616,0,32667.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
197.546,9H 4M 28.4789999999994S,13.9438,4.587722,2.256,0.1931,1.8137973,13.926903,13.9144,38.6728,29.0474,3.2815,142.416,0,32668.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
197.05,9H 4M 29.4789999999994S,13.9442,4.587735,2.2555,0.1852,1.8137973,13.927586,13.9149,38.6728,29.0473,3.282,142.435,0,32669.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
196.47,9H 4M 30.4789999999994S,13.9391,4.586895,2.2559,0.1882,1.8137973,13.926903,13.9099,38.6702,29.0464,3.2845,142.545,0,32670.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
195.549,9H 4M 31.4789999999994S,13.9327,4.586023,2.2568,0.1844,1.813492,13.926903,13.9036,38.6688,29.0467,3.29,142.786,0,32671.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
194.373,9H 4M 32.4789999999994S,13.9329,4.585982,2.2587,0.1902,1.8135429,13.927586,13.9039,38.6688,29.0466,3.2909,142.822,0,32672.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
193.611,9H 4M 33.4789999999994S,13.9323,4.585881,2.2586,0.1971,1.8131868,13.924171,13.9035,38.6688,29.0467,3.2872,142.662,0,32673.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
193.231,9H 4M 34.4789999999994S,13.9336,4.586079,2.2585,0.2058,1.8135938,13.925537,13.9048,38.6695,29.0469,3.29,142.784,0,32674.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
192.559,9H 4M 35.4789999999994S,13.9301,4.585329,2.2609,0.1894,1.813085,13.920073,13.9015,38.6662,29.0451,3.3079,143.563,0,32675.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
191.628,9H 4M 36.4789999999994S,13.9022,4.581284,2.2679,0.1982,1.813085,13.912559,13.8737,38.6564,29.0435,3.3324,144.625,0,32676.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
190.617,9H 4M 37.4789999999994S,13.869,4.576308,2.2755,0.2043,1.8125254,13.915291,13.8407,38.6432,29.0404,3.3477,145.29,0,32677.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
189.787,9H 4M 38.4789999999994S,13.8532,4.574379,2.2806,0.2078,1.812678,13.901629,13.8251,38.6411,29.0422,3.3522,145.486,0,32678.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
189.264,9H 4M 39.4789999999994S,13.8491,4.573839,2.2848,0.2052,1.8116097,13.893432,13.8211,38.6404,29.0425,3.3596,145.805,0,32679.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
188.527,9H 4M 40.4789999999994S,13.8453,4.573088,2.2884,0.2005,1.8102361,13.881819,13.8174,38.6374,29.041,3.3653,146.051,0,32680.479,NA,Apr,09,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
