pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
403.748,11H 43M 26S,NA,NA,NA,NA,NA,42206,Fri,Jun,11,2021,46,102,56,532,65,50,54,11 Jun 2021
403.793,11H 43M 28S,NA,NA,NA,NA,NA,42208,Fri,Jun,11,2021,45,84,56,532,59,50,52,11 Jun 2021
403.863,11H 43M 29S,NA,NA,NA,NA,NA,42209,Fri,Jun,11,2021,46,85,57,532,60,50,52,11 Jun 2021
403.723,11H 43M 30S,NA,NA,NA,NA,NA,42210,Fri,Jun,11,2021,46,90,56,532,62,50,53,11 Jun 2021
403.691,11H 43M 31S,NA,NA,NA,NA,NA,42211,Fri,Jun,11,2021,49,85,56,532,65,52,52,11 Jun 2021
403.849,11H 43M 33S,NA,NA,NA,NA,NA,42213,Fri,Jun,11,2021,46,91,56,532,61,50,53,11 Jun 2021
403.678,11H 43M 34S,NA,NA,NA,NA,NA,42214,Fri,Jun,11,2021,45,86,55,532,61,47,53,11 Jun 2021
403.73,11H 43M 35S,NA,NA,NA,NA,NA,42215,Fri,Jun,11,2021,46,87,56,532,58,50,50,11 Jun 2021
403.808,11H 43M 36S,NA,NA,NA,NA,NA,42216,Fri,Jun,11,2021,46,88,56,532,60,50,50,11 Jun 2021
403.765,11H 43M 37S,NA,NA,NA,NA,NA,42217,Fri,Jun,11,2021,700,460,532,NA,60,50,53,11 Jun 2021
403.784,11H 43M 38S,NA,NA,NA,NA,NA,42218,Fri,Jun,11,2021,47,86,56,532,61,49,50,11 Jun 2021
403.778,11H 43M 39S,NA,NA,NA,NA,NA,42219,Fri,Jun,11,2021,46,88,57,532,58,50,50,11 Jun 2021
403.682,11H 43M 40S,NA,NA,NA,NA,NA,42220,Fri,Jun,11,2021,48,92,57,532,62,52,53,11 Jun 2021
403.772,11H 43M 42S,NA,NA,NA,NA,NA,42222,Fri,Jun,11,2021,46,88,56,532,59,49,51,11 Jun 2021
403.535,11H 43M 44S,NA,NA,NA,NA,NA,42224,Fri,Jun,11,2021,47,88,56,532,62,48,54,11 Jun 2021
403.499,11H 43M 45S,NA,NA,NA,NA,NA,42225,Fri,Jun,11,2021,46,97,57,532,61,49,53,11 Jun 2021
403.357,11H 43M 46S,NA,NA,NA,NA,NA,42226,Fri,Jun,11,2021,48,88,57,532,64,52,54,11 Jun 2021
403.057,11H 43M 47S,NA,NA,NA,NA,NA,42227,Fri,Jun,11,2021,44,83,56,532,61,52,53,11 Jun 2021
402.764,11H 43M 48S,NA,NA,NA,NA,NA,42228,Fri,Jun,11,2021,45,88,56,532,57,49,53,11 Jun 2021
402.767,11H 43M 49S,NA,NA,NA,NA,NA,42229,Fri,Jun,11,2021,4,NA,NA,NA,59,49,53,11 Jun 2021
402.28,11H 43M 51S,NA,NA,NA,NA,NA,42231,Fri,Jun,11,2021,49,84,57,532,64,50,53,11 Jun 2021
402.021,11H 43M 52S,NA,NA,NA,NA,NA,42232,Fri,Jun,11,2021,49,90,56,532,63,50,53,11 Jun 2021
401.997,11H 43M 53S,NA,NA,NA,NA,NA,42233,Fri,Jun,11,2021,45,87,56,532,56,50,57,11 Jun 2021
401.873,11H 43M 54S,NA,NA,NA,NA,NA,42234,Fri,Jun,11,2021,46,160,56,532,60,49,55,11 Jun 2021
