pres,time,temp,conductivity,sbeox0v,fluo_chl,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
1.653,11H 30M 31S,23.0124,5.510974,3.2125,0.5274,0,41431,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.658,11H 30M 31.0420000000013S,23.0114,5.510618,3.2137,0.4929,0,41431.042,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.662,11H 30M 31.0829999999987S,23.0109,5.510458,3.2137,0.4469,0,41431.083,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.666,11H 30M 31.125S,23.0068,5.510299,3.2125,0.3997,0,41431.125,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.67,11H 30M 31.1670000000013S,23.0022,5.510011,3.2137,0.361,0,41431.167,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.673,11H 30M 31.2079999999987S,23.0033,5.509799,3.2137,0.3333,0,41431.208,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.675,11H 30M 31.25S,23.0051,5.509716,3.2137,0.312,0,41431.25,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.677,11H 30M 31.2920000000013S,23.0029,5.509602,3.2137,0.2965,0,41431.292,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.679,11H 30M 31.3329999999987S,23.0002,5.509466,3.2137,0.2864,0,41431.333,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.68,11H 30M 31.375S,22.9985,5.50939,3.2137,0.2831,0,41431.375,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.682,11H 30M 31.4170000000013S,22.9964,5.509246,3.2137,0.2831,0,41431.417,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.684,11H 30M 31.4579999999987S,22.9933,5.508511,3.2137,0.2864,0,41431.458,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.685,11H 30M 31.5S,22.9851,5.507701,3.2149,0.2932,0,41431.5,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.684,11H 30M 31.5420000000013S,22.9759,5.507231,3.2137,0.3017,0,41431.542,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.685,11H 30M 31.5829999999987S,22.9732,5.507284,3.2149,0.3138,0,41431.583,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.686,11H 30M 31.625S,22.9739,5.507466,3.2149,0.3261,0,41431.625,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.686,11H 30M 31.6670000000013S,22.9742,5.507398,3.2137,0.3369,0,41431.667,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.686,11H 30M 31.7079999999987S,22.9745,5.507095,3.2149,0.3388,0,41431.708,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.686,11H 30M 31.75S,22.9739,5.506799,3.2149,0.3315,0,41431.75,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.685,11H 30M 31.7920000000013S,22.9717,5.506701,3.2137,0.3138,0,41431.792,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.682,11H 30M 31.8329999999987S,22.973,5.506966,3.2149,0.2915,0,41431.833,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.678,11H 30M 31.875S,22.9766,5.507466,3.2149,0.2683,0,41431.875,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.675,11H 30M 31.9170000000013S,22.9801,5.507731,3.2149,0.2461,0,41431.917,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
