pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,fluo_flbb,bb700,cdom,echov1,date,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
301.755,11H 10M 14.4789999999994S,13.7836,4.573797,2.4741,0.1327,1.8144078,13.779326,13.7388,38.6555,29.0719,3.756,163.006,0,40214.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
301.404,11H 10M 15.4789999999994S,13.7832,4.573742,2.4741,0.1308,1.8144078,13.779326,13.7385,38.6555,29.0719,3.7554,162.978,0,40215.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
300.605,11H 10M 16.4789999999994S,13.7832,4.573699,2.474,0.1169,1.8144587,13.778643,13.7387,38.6554,29.0719,3.7561,163.008,0,40216.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
299.992,11H 10M 17.4789999999994S,13.7831,4.573636,2.4743,0.1128,1.8144078,13.779326,13.7386,38.6553,29.0717,3.7543,162.931,0,40217.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
299.958,11H 10M 18.4789999999994S,13.784,4.573763,2.4734,0.119,1.8144587,13.779326,13.7395,38.6555,29.0717,3.7508,162.781,0,40218.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
299.38,11H 10M 19.4789999999994S,13.7839,4.573701,2.4726,0.1319,1.8143569,13.779326,13.7395,38.6553,29.0716,3.7495,162.724,0,40219.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
298.436,11H 10M 20.4789999999994S,13.7827,4.57352,2.4724,0.1356,1.8142043,13.777959,13.7385,38.6552,29.0717,3.7526,162.857,0,40220.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
297.807,11H 10M 21.4789999999994S,13.7833,4.573572,2.4736,0.1308,1.814306,13.777959,13.7391,38.6555,29.0718,3.7577,163.078,0,40221.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
297.138,11H 10M 22.4789999999994S,13.7839,4.57363,2.4747,0.1267,1.8145095,13.779326,13.7398,38.6557,29.0718,3.758,163.092,0,40222.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
296.449,11H 10M 23.4789999999994S,13.7852,4.573793,2.4756,0.1362,1.8140517,13.779326,13.7413,38.6562,29.0719,3.7595,163.157,0,40223.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
296.095,11H 10M 24.4789999999994S,13.7861,4.573867,2.4759,0.1108,1.8142552,13.779326,13.7422,38.6562,29.0717,3.755,162.962,0,40224.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
295.48,11H 10M 25.4789999999994S,13.7894,4.574261,2.4749,0.1101,1.814306,13.780693,13.7456,38.6568,29.0715,3.7524,162.85,0,40225.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
294.4,11H 10M 26.4789999999994S,13.7918,4.574448,2.4751,0.1165,1.8139499,13.779326,13.7481,38.6567,29.0708,3.7572,163.058,0,40226.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
293.706,11H 10M 27.4789999999994S,13.7914,4.574397,2.4766,0.1289,1.8139499,13.780693,13.7478,38.657,29.0711,3.7602,163.187,0,40227.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
293.499,11H 10M 28.4789999999994S,13.7914,4.574365,2.477,0.1323,1.8139499,13.781376,13.7479,38.6567,29.0708,3.7569,163.041,0,40228.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
292.783,11H 10M 29.4789999999994S,13.7914,4.574349,2.4765,0.1224,1.8137973,13.781376,13.748,38.6568,29.071,3.7547,162.949,0,40229.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
291.687,11H 10M 30.4789999999994S,13.7855,4.573361,2.4762,0.1021,1.813899,13.779326,13.7422,38.6539,29.0699,3.7547,162.949,0,40230.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
290.961,11H 10M 31.4789999999994S,13.7826,4.573006,2.4762,0.1053,1.8142552,13.777276,13.7395,38.6538,29.0704,3.7563,163.016,0,40231.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
290.417,11H 10M 32.4789999999994S,13.7784,4.572341,2.4769,0.1189,1.8141534,13.778643,13.7354,38.652,29.0699,3.7594,163.153,0,40232.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
289.402,11H 10M 33.4789999999994S,13.7782,4.572213,2.477,0.133,1.8140008,13.776592,13.7354,38.6514,29.0694,3.754,162.918,0,40233.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
288.294,11H 10M 34.4789999999994S,13.7791,4.572271,2.4763,0.127,1.813899,13.777959,13.7364,38.6515,29.0694,3.7579,163.087,0,40234.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
287.446,11H 10M 35.4789999999994S,13.7793,4.572265,2.4783,0.138,1.8141025,13.777959,13.7367,38.6517,29.0694,3.7622,163.273,0,40235.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
286.591,11H 10M 36.4789999999994S,13.7797,4.572267,2.4783,0.1346,1.8137464,13.777959,13.7373,38.6516,29.0692,3.7574,163.064,0,40236.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
285.206,11H 10M 37.4789999999994S,13.7843,4.572824,2.4784,0.1412,1.8140517,13.777276,13.7421,38.6529,29.0692,3.7568,163.039,0,40237.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
284.216,11H 10M 38.4789999999994S,13.7867,4.573044,2.4781,0.1429,1.8137464,13.779326,13.7446,38.6531,29.0687,3.7576,163.075,0,40238.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
283.859,11H 10M 39.4789999999994S,13.7852,4.572834,2.4793,0.1396,1.8138482,13.777959,13.7431,38.6527,29.0688,3.7621000000000002,163.268,0,40239.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
