pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,fluo_flbb,bb700,cdom,echov1,date,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
1.285,11H 1M 32.4789999999994S,23.1951,5.54631,3.5825,0.227,1.3874135,23.059538,23.1947,38.3046,26.3852,4.8806,212.364,0,39692.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.366,11H 1M 33.4789999999994S,23.2042,5.547457,3.5829,0.2227,1.3869048,23.070606,23.2039,38.3055,26.3832,4.8841,212.519,0,39693.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.472,11H 1M 34.4789999999994S,23.1982,5.546825,3.587,0.2112,1.3866504,23.105881,23.1979,38.3058,26.3852,4.8889,212.724,0,39694.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.428,11H 1M 35.4789999999994S,23.2054,5.547696,3.5839,0.2108,1.3870065,23.035334,23.2051,38.3063,26.3834,4.8811,212.388,0,39695.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.662,11H 1M 36.4789999999994S,23.2026,5.547424,3.5858,0.2102,1.3866504,23.110034,23.2023,38.3065,26.3844,4.8847,212.544,0,39696.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
2.141,11H 1M 37.4789999999994S,23.1995,5.547141,3.5818,0.1972,1.3876679,23.107265,23.1991,38.3068,26.3856,4.876,212.163,0,39697.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
2.501,11H 1M 38.4789999999994S,23.2007,5.547314,3.5839,0.2039,1.3876679,23.090662,23.2002,38.307,26.3854,4.8869,212.638,0,39698.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
2.84,11H 1M 39.4789999999994S,23.1919,5.546368,3.5847,0.216,1.3867013,23.110725,23.1913,38.3072,26.3881,4.8868,212.634,0,39699.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
3.448,11H 1M 40.4789999999994S,23.1903,5.546256,3.5854,0.2007,1.3871592,23.136324,23.1895,38.3076,26.389,4.8859,212.592,0,39700.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
4.134,11H 1M 41.4789999999994S,23.1855,5.545811,3.5833,0.2099,1.3873118,23.123177,23.1847,38.308,26.3907,4.8828,212.461,0,39701.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
4.555,11H 1M 42.4789999999994S,23.1534,5.542324,3.5848,0.2144,1.3877697,23.101731,23.1525,38.3086,26.4007,4.897,213.075,0,39702.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
5.046,11H 1M 43.4789999999994S,23.0784,5.533402,3.591,0.2052,1.3871083,23.107265,23.0774,38.3043,26.4194,4.9188,214.02,0,39703.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
5.731,11H 1M 44.4789999999994S,22.9719,5.52133,3.5963,0.2016,1.388024,23.058846,22.9708,38.3027,26.4495,4.921,214.108,0,39704.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
6.113,11H 1M 45.4789999999994S,22.8979,5.51299,3.5878,0.1971,1.388431,23.009056,22.8967,38.302,26.4706,4.9195,214.04,0,39705.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
6.583,11H 1M 46.4789999999994S,22.8251,5.504432,3.5999,0.2005,1.3899064,22.907454,22.8237,38.2985,26.4892,4.969,216.188,0,39706.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
7.457,11H 1M 47.4789999999994S,22.5393,5.471143,3.6116,0.2069,1.3889907,22.842519,22.5378,38.2869,26.5634,5.0021,217.614,0,39707.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
7.898,11H 1M 48.4789999999994S,22.4387,5.460447,3.6098,0.2049,1.3889398,22.786583,22.4371,38.2909,26.5955,4.9506,215.365,0,39708.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
7.981,11H 1M 49.4789999999994S,22.3593,5.451525,3.5665,0.191,1.3882275,22.725834,22.3577,38.2901,26.6178,4.9397,214.887,0,39709.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
8.624,11H 1M 50.4789999999994S,22.1607,5.426645,3.6326,0.1941,1.3892959,22.609241,22.159,38.2676,26.6575,5.1881,225.682,0,39710.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
9.492,11H 1M 51.4789999999994S,20.2899,5.212809,3.6759,0.2022,1.390466,22.404526,20.2881,38.2073,27.1293,5.3331,231.883,0,39711.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
9.958,11H 1M 52.4789999999994S,19.6694,5.164796,3.6741,0.2057,1.3931624,22.029617,19.6676,38.3765,27.4283,5.4421,236.555,0,39712.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
10.419,11H 1M 53.4789999999994S,19.2605,5.102538,3.7428,0.2148,1.3892959,21.95113,19.2586,38.2282,27.4225,5.6827,247.017,0,39713.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
10.976,11H 1M 54.4789999999994S,17.3424,4.900171,3.7996,0.2299,1.4070004,20.875334,17.3405,38.28,27.9508,5.9566,258.787,0,39714.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
11.444,11H 1M 55.4789999999994S,17.0012,4.864934,3.8362,0.2384,1.4102564,19.930891,16.9993,38.2936,28.0449,6.0272,261.83,0,39715.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
12.076,11H 1M 56.4789999999994S,16.6339,4.824423,3.8613,0.2405,1.4301485,18.360692,16.6319,38.2846,28.1268,6.0913,264.595,0,39716.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
12.758,11H 1M 57.4789999999994S,16.3714,4.797959,3.873,0.2498,1.4229752,17.562976,16.3693,38.2999,28.2014,6.0969,264.818,0,39717.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
13.161,11H 1M 58.4789999999994S,16.2355,4.784688,3.8688,0.2636,1.4035918,17.678359,16.2334,38.3115,28.2426,6.0919,264.592,0,39718.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
13.603,11H 1M 59.4789999999994S,16.1804,4.777476,3.8682,0.2624,1.3882275,17.803291,16.1782,38.2995,28.2463,6.1199,265.805,0,39719.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
14.297,11H 2M 0.47899999999936S,15.8101,4.740611,3.8781,0.2514,1.4048637,16.777691,15.8078,38.3246,28.3526,6.1946,269.022,0,39720.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
14.914,11H 2M 1.47899999999936S,15.684,4.729119,3.8836,0.262,1.4016077,16.427404,15.6816,38.3425,28.3958,6.1919,268.894,0,39721.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
15.197,11H 2M 2.47899999999936S,15.6945,4.73108,3.8765,0.2572,1.392908,16.56183,15.6921,38.35,28.3991,6.1517,267.147,0,39722.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
15.732,11H 2M 3.47899999999936S,15.6108,4.721872,3.8646,0.2613,1.3954518,16.386665,15.6083,38.3474,28.4165,6.1444,266.826,0,39723.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
16.604,11H 2M 4.47899999999936S,15.4439,4.704664,3.8599,0.2839,1.4008445,16.027407,15.4412,38.3528,28.4592,6.1604,267.51,0,39724.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
17.073,11H 2M 5.47899999999936S,15.3748,4.69809,3.8495,0.3018,1.3967745,16.068842,15.3721,38.3599,28.4806,6.1425,266.729,0,39725.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
17.349,11H 2M 6.47899999999936S,15.464,4.707899,3.8436,0.3042,1.3943325,16.118427,15.4613,38.3624,28.462,6.1457,266.874,0,39726.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
18.003,11H 2M 7.47899999999936S,15.2985,4.689688,3.8489,0.2997,1.3997761,15.973733,15.2957,38.3571,28.4958,6.1951,269.01,0,39727.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
18.82,11H 2M 8.47899999999936S,15.1219,4.671958,3.8525,0.3103,1.4070513,15.606782,15.1189,38.367,28.5437,6.2021,269.3,0,39728.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
19.286,11H 2M 9.47899999999936S,15.1154,4.671789,3.846,0.3206,1.4057285,15.615623,15.1124,38.3715,28.5487,6.1753,268.133,0,39729.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
19.44,11H 2M 10.4789999999994S,15.1519,4.675564,3.8395,0.324,1.4053724,15.608146,15.1489,38.3704,28.5396,6.1609,267.512,0,39730.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
19.988,11H 2M 11.4789999999994S,15.0911,4.669172,3.8342,0.3236,1.406746,15.527246,15.0879,38.371,28.5539,6.1718,267.981,0,39731.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
