pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
405.155,9H 49M 52.4789999999994S,13.6924,4.567255,2.4098,0.1734,1.8193427,13.680893,13.6324,38.6391,29.082,3.6759,159.524,0,35392.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
404.857,9H 49M 53.4789999999994S,13.6946,4.567495,2.4092,0.1897,1.8194953,13.680209,13.6346,38.6392,29.0816,3.6772,159.583,0,35393.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
404.578,9H 49M 54.4789999999994S,13.6938,4.567403,2.4101,0.1936,1.8191392,13.680893,13.6339,38.6393,29.0819,3.6791,159.667,0,35394.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
404.855,9H 49M 55.4789999999994S,13.6934,4.567356,2.4094,0.2006,1.8195971,13.680209,13.6334,38.6391,29.0818,3.6763,159.544,0,35395.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
404.94,9H 49M 56.4789999999994S,13.6929,4.567309,2.4097,0.1983,1.8194953,13.680209,13.6329,38.6392,29.0819,3.677,159.573,0,35396.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
404.587,9H 49M 57.4789999999994S,13.6946,4.567496,2.4089,0.1884,1.8196988,13.679526,13.6347,38.6393,29.0817,3.6745,159.465,0,35397.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
404.257,9H 49M 58.4789999999994S,13.6938,4.567398,2.4093,0.186,1.8193936,13.680893,13.6339,38.6394,29.082,3.6805,159.727,0,35398.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
404.092,9H 49M 59.4789999999994S,13.6939,4.567398,2.4106,0.1849,1.819597,13.681577,13.634,38.6394,29.0819,3.6813,159.762,0,35399.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
403.877,9H 50M 0.47899999999936S,13.694,4.567415,2.4108,0.1845,1.8193427,13.680893,13.6342,38.6395,29.0819,3.6794,159.68,0,35400.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
403.481,9H 50M 1.47899999999936S,13.6941,4.567378,2.4106,0.1814,1.8194444,13.680209,13.6343,38.6393,29.0817,3.68,159.702,0,35401.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
