pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.71,14H 43M 44.4789999999994S,13.6147,4.510963,3.0225,1.3772,1.5212658,13.600204,13.6144,38.3632,28.872,4.8017,208.427,0,53024.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.835,14H 43M 45.4789999999994S,13.6184,4.511241,3.0227,1.3191,1.5212657,13.598836,13.618,38.3621,28.8703,4.8026,208.467,0,53025.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.785,14H 43M 46.4789999999994S,13.619,4.511302,3.0235,1.2857,1.5213166,13.598836,13.6187,38.362,28.8702,4.8066,208.639,0,53026.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.674,14H 43M 47.4789999999994S,13.6138,4.510814,3.0244,1.3149,1.5213166,13.59952,13.6136,38.3627,28.8718,4.8061,208.615,0,53027.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.667,14H 43M 48.4789999999994S,13.6172,4.511219,3.0235,1.3392,1.5211131,13.598836,13.617,38.3631,28.8714,4.7989,208.305,0,53028.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.753,14H 43M 49.4789999999994S,13.6221,4.511661,3.0219,1.3506,1.5214692,13.598836,13.6218,38.3624,28.8698,4.7952,208.145,0,53029.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.778,14H 43M 50.4789999999994S,13.6209,4.511578,3.0199,1.3342,1.5213166,13.597468,13.6206,38.3627,28.8703,4.7912,207.97,0,53030.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.747,14H 43M 51.4789999999994S,13.6206,4.511587,3.0193,1.2984,1.5214693,13.598152,13.6203,38.3631,28.8707,4.7906,207.944,0,53031.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.714,14H 43M 52.4789999999994S,13.6199,4.511443,3.017,1.2801,1.5214692,13.598836,13.6197,38.3625,28.8703,4.7845,207.679,0,53032.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.652,14H 43M 53.4789999999994S,13.6253,4.512153,3.0162,1.2702,1.5213675,13.5961,13.6252,38.3638,28.8702,4.7892,207.884,0,53033.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
