pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
401.07,13H 37M 56.4789999999994S,13.6234,4.558639,2.1889,0.1823,1.8373016,13.605675,13.5642,38.6285,29.0884,3.2465,140.889,0,49076.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.471,13H 37M 57.4789999999994S,13.6236,4.55863,2.1888,0.1818,1.8374542,13.605675,13.5644,38.6285,29.0883,3.248,140.956,0,49077.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
399.944,13H 37M 58.4789999999994S,13.6237,4.558644,2.1894,0.1766,1.8371489,13.609094,13.5647,38.6288,29.0885,3.2499,141.036,0,49078.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.308,13H 37M 59.4789999999994S,13.6231,4.558562,2.1897,0.1685,1.8374033,13.603623,13.564,38.6284,29.0884,3.2492,141.009,0,49079.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.923,13H 38M 0.47899999999936S,13.6211,4.558365,2.1893,0.1795,1.8371489,13.601572,13.5619,38.6283,29.0886,3.2466,140.894,0,49080.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.894,13H 38M 1.47899999999936S,13.6226,4.558549,2.1889,0.1721,1.8373524,13.604991,13.5635,38.6285,29.0885,3.2476,140.938,0,49081.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.506,13H 38M 2.47899999999936S,13.6217,4.558394,2.1893,0.1646,1.8371489,13.60841,13.5626,38.6281,29.0884,3.2505,141.064,0,49082.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.282,13H 38M 3.47899999999936S,13.6218,4.558409,2.1899,0.1703,1.8370472,13.609778,13.5627,38.6283,29.0885,3.2498,141.035,0,49083.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.501,13H 38M 4.47899999999936S,13.6224,4.558497,2.1895,0.1697,1.8375051,13.603623,13.5633,38.6284,29.0885,3.2467,140.901,0,49084.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.747,13H 38M 5.47899999999936S,13.6213,4.558365,2.1889,0.1724,1.8370472,13.603623,13.5621,38.6282,29.0886,3.247,140.913,0,49085.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.624,13H 38M 6.47899999999936S,13.6208,4.5583,2.1889,0.1754,1.8371998,13.607043000000001,13.5617,38.6281,29.0885,3.2478,140.945,0,49086.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.553,13H 38M 7.47899999999936S,13.6221,4.558457,2.189,0.1664,1.8369963,13.606359,13.563,38.6283,29.0884,3.2479,140.949,0,49087.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.695,13H 38M 8.47899999999936S,13.6216,4.558412,2.189,0.1642,1.8372507,13.604307,13.5624,38.6283,29.0886,3.248,140.957,0,49088.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.597,13H 38M 9.47899999999936S,13.6223,4.55847,2.1893,0.1565,1.8371998,13.603623,13.5632,38.6282,29.0884,3.2499,141.037,0,49089.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.35,13H 38M 10.4789999999994S,13.6228,4.558546,2.1897,0.1626,1.8371998,13.60841,13.5637,38.6285,29.0885,3.2498,141.034,0,49090.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.468,13H 38M 11.4789999999994S,13.6224,4.558488,2.1896,0.1642,1.8370981,13.600888,13.5633,38.6283,29.0884,3.2479,140.953,0,49091.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.854,13H 38M 12.4789999999994S,13.6202,4.558239,2.1895,0.1814,1.8374542,13.601572,13.561,38.628,29.0886,3.2499,141.04,0,49092.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
400.73,13H 38M 13.4789999999994S,13.6208,4.55831,2.1895,0.1969,1.8372507,13.601572,13.5617,38.6281,29.0886,3.2473,140.926,0,49093.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
