pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
405.641,11H 25M 14.4789999999994S,13.5734,4.552377,2.4286,0.1702,1.8146113,13.561217,13.5136,38.6173,29.0904,3.7273,161.755,0,41114.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.613,11H 25M 15.4789999999994S,13.5749,4.552555,2.4285,0.1674,1.8140008,13.561217,13.5151,38.6175,29.0903,3.7297,161.862,0,41115.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.493,11H 25M 16.4789999999994S,13.5744,4.552465,2.4297,0.1652,1.8140517,13.557796,13.5147,38.6172,29.0901,3.7311,161.921,0,41116.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.56,11H 25M 17.4789999999994S,13.5728,4.552285,2.429,0.1769,1.8144587,13.561217,13.5131,38.6171,29.0904,3.7238,161.605,0,41117.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.627,11H 25M 18.4789999999994S,13.5719,4.552193,2.4277,0.1642,1.8142043,13.561217,13.5122,38.617,29.0905,3.7227,161.556,0,41118.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.436,11H 25M 19.4789999999994S,13.5728,4.552285,2.4272,0.1723,1.8137973,13.560533,13.5131,38.6171,29.0904,3.7254,161.673,0,41119.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.47,11H 25M 20.4789999999994S,13.5728,4.552288,2.428,0.1733,1.814306,13.566005,13.5131,38.6171,29.0904,3.7305,161.894,0,41120.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.586,11H 25M 21.4789999999994S,13.5722,4.552217,2.4295,0.1804,1.8143569,13.564637,13.5125,38.617,29.0904,3.7319,161.956,0,41121.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.538,11H 25M 22.4789999999994S,13.5724,4.552236,2.4293,0.1784,1.8146113,13.566005,13.5127,38.617,29.0905,3.7268,161.735,0,41122.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
405.467,11H 25M 23.4789999999994S,13.5728,4.552289,2.4283,0.1853,1.8144078,13.564637,13.5131,38.6172,29.0905,3.7251,161.658,0,41123.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
