pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
1.796,13H 51M 18.4789999999994S,23.9377,5.64482,3.5135,0.3206,1.3742369,23.919605,23.9373,38.4218,26.2534,4.7017,204.608,0,49878.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.609,13H 51M 19.4789999999994S,23.9362,5.64462,3.5106,0.3659,1.3740843,23.916126,23.9359,38.4216,26.2537,4.6973,204.414,0,49879.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.46,13H 51M 20.4789999999994S,23.9412,5.6452,3.5144,0.3137,1.3740334,23.924474,23.9409,38.4218,26.2523,4.7085,204.903,0,49880.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.744,13H 51M 21.4789999999994S,23.9402,5.645106,3.5134,0.1899,1.3740843,23.922387,23.9399,38.4218,26.2526,4.6921,204.187,0,49881.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.807,13H 51M 22.4789999999994S,23.9415,5.64523,3.5075,0.1734,1.373779,23.917518,23.9411,38.4217,26.2522,4.6898,204.088,0,49882.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.525,13H 51M 23.4789999999994S,23.9401,5.645087,3.5096,0.1516,1.3738808,23.92517,23.9398,38.4218,26.2527,4.7011,204.581,0,49883.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.422,13H 51M 24.4789999999994S,23.9403,5.645081,3.516,0.2755,1.3738299,23.923779,23.94,38.4217,26.2525,4.7127,205.085,0,49884.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.884,13H 51M 25.4789999999994S,23.9391,5.644986,3.515,0.2973,1.3739825,23.92517,23.9387,38.4218,26.2529,4.6951,204.318,0,49885.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.338,13H 51M 26.4789999999994S,23.9309,5.644084,3.5093,0.2187,1.3742369,23.92517,23.9304,38.4219,26.2555,4.694,204.271,0,49886.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.351,13H 51M 27.4789999999994S,23.9278,5.643725,3.51,0.1867,1.373779,23.92517,23.9273,38.4218,26.2563,4.6981,204.45,0,49887.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.59,13H 51M 28.4789999999994S,23.9239,5.643289,3.5133,0.1105,1.3739317,23.924474,23.9233,38.4217,26.2575,4.7102,204.977,0,49888.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
3.269,13H 51M 29.4789999999994S,23.9194,5.642871,3.5147,0.118,1.3740334,23.921692,23.9187,38.4221,26.2592,4.7051,204.754,0,49889.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
