fluo_flbb,bb700,cdom,echov1,time,date,fluo_440,fluo_470,fluo_532,echo3x
49,50,50,519,14H 43M 30S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 31S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 32S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 33S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 34S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 35S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 36S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 37S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 39S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 40S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 41S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 42S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 43S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 44S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 45S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 46S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 47S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 48S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 49S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 50S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 51S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 52S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 53S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 54S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 55S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 56S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 57S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 58S,18-01-20,50,50,50,524
49,50,50,519,14H 43M 59S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 0S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 1S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 2S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 3S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 4S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 5S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 6S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 7S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 8S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 9S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 10S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 11S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 12S,18-01-20,51,56,59,524
49,50,50,519,14H 44M 13S,18-01-20,48,54,74,524
49,50,50,519,14H 44M 14S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 15S,18-01-20,65,52,98,524
49,50,50,519,14H 44M 16S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 18S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 19S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 20S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 21S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 22S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 23S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 24S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 25S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 26S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 27S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 28S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 29S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 30S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 31S,18-01-20,50,50,50,524
49,50,50,519,14H 44M 32S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 33S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 34S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 35S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 36S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 37S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 38S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 39S,18-01-20,50,50,50,523
49,50,50,518,14H 44M 40S,18-01-20,50,50,50,523
49,50,50,518,14H 44M 41S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 42S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 43S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 44S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 45S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 46S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 47S,18-01-20,50,50,50,523
49,50,50,518,14H 44M 48S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 49S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 50S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 51S,18-01-20,50,50,50,523
49,50,50,518,14H 44M 52S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 53S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 54S,18-01-20,50,50,50,523
49,50,50,518,14H 44M 56S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 57S,18-01-20,50,50,50,524
49,50,50,518,14H 44M 58S,18-01-20,50,50,50,523
49,50,50,518,14H 44M 59S,18-01-20,50,50,50,524
49,50,50,518,14H 45M 0S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 1S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 2S,18-01-20,50,50,50,524
49,50,50,518,14H 45M 3S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 4S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 5S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 6S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 7S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 8S,18-01-20,50,50,50,524
49,50,50,518,14H 45M 9S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 10S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 11S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 12S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 13S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 14S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 15S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 16S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 17S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 18S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 19S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 20S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 21S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 22S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 23S,18-01-20,50,50,50,523
49,50,50,518,14H 45M 24S,18-01-20,50,50,50,523
