 DD MMM YYYY HH:MM:SS   Latitude  Longitude       PrDM      T090C        FlC      Xmiss        Par      Sal00Sbeox0Mm/Kg
 03 Nov 2019 00:36:45  -21.02992  172.18064      4.500    24.3523     0.0227    88.2458 1.1268e+03    35.2772    207.352
 03 Nov 2019 00:36:46  -21.02990  172.18064      4.457    24.3521     0.0209    88.2261 1.0957e+03    35.2773    207.882
 03 Nov 2019 00:36:47  -21.02990  172.18062      4.059    24.3533     0.0194    88.3884 1.2377e+03    35.2773    207.212
 03 Nov 2019 00:36:48  -21.02990  172.18062      3.581    24.3549     0.0157    88.4091 1.4347e+03    35.2767    207.198
 03 Nov 2019 00:36:49  -21.02990  172.18062      3.669    24.3551     0.0098    88.4524 1.5060e+03    35.2769    207.575
 03 Nov 2019 00:36:50  -21.02990  172.18062      4.225    24.3551     0.0186    88.4849 1.0684e+03    35.2773    207.107
 03 Nov 2019 00:36:51  -21.02990  172.18062      4.572    24.3568     0.0178    88.5026 1.0256e+03    35.2774    206.687
 03 Nov 2019 00:36:52  -21.02988  172.18062      4.341    24.3552     0.0169    88.4681 1.3377e+03    35.2776    207.081
 03 Nov 2019 00:36:53  -21.02988  172.18060      3.864    24.3554     0.0185    88.4485 1.2180e+03    35.2773    206.071
 03 Nov 2019 00:36:54  -21.02988  172.18060      3.823    24.3552     0.0255    88.4367 1.4773e+03    35.2771    205.566
 03 Nov 2019 00:36:55  -21.02988  172.18060      4.265    24.3528     0.0177    88.5193 1.3215e+03    35.2772    204.974
 03 Nov 2019 00:36:56  -21.02988  172.18060      4.510    24.3505     0.0171    88.4790 1.4403e+03    35.2774    204.408
 03 Nov 2019 00:36:57  -21.02986  172.18060      4.448    24.3539     0.0173    88.4524 1.0679e+03    35.2778    204.593
 03 Nov 2019 00:36:58  -21.02986  172.18060      4.096    24.3557     0.0187    88.5016 1.1232e+03    35.2774    204.781
 03 Nov 2019 00:36:59  -21.02986  172.18060      3.659    24.3555     0.0223    88.4682 8.9818e+02    35.2773    205.783
 03 Nov 2019 00:37:00  -21.02984  172.18060      3.640    24.3555     0.0157    88.4367 1.1937e+03    35.2773    205.590
 03 Nov 2019 00:37:01  -21.02984  172.18058      3.965    24.3556     0.0070    88.5203 1.2893e+03    35.2777    205.760
 03 Nov 2019 00:37:02  -21.02984  172.18058      4.225    24.3566     0.0055    88.5193 1.1868e+03    35.2776    206.008
 03 Nov 2019 00:37:03  -21.02984  172.18058      4.370    24.3567     0.0179    88.5302 1.2070e+03    35.2778    205.746
 03 Nov 2019 00:37:04  -21.02984  172.18058      4.402    24.3567     0.0144    88.5056 9.5772e+02    35.2778    204.976
 03 Nov 2019 00:37:05  -21.02984  172.18058      4.128    24.3563     0.0171    88.5262 8.3858e+02    35.2777    204.458
 03 Nov 2019 00:37:06  -21.02982  172.18058      3.874    24.3562     0.0182    88.4927 1.1848e+03    35.2776    204.931
 03 Nov 2019 00:37:07  -21.02982  172.18058      4.180    24.3560     0.0199    88.5341 1.2372e+03    35.2778    205.738
 03 Nov 2019 00:37:08  -21.02982  172.18056      4.509    24.3551     0.0180    88.5390 9.3449e+02    35.2780    206.001
 03 Nov 2019 00:37:09  -21.02982  172.18056      4.305    24.3561     0.0151    88.5213 6.0839e+02    35.2780    205.010
 03 Nov 2019 00:37:10  -21.02982  172.18056      3.796    24.3560     0.0157    88.4859 5.3394e+02    35.2776    205.326
 03 Nov 2019 00:37:11  -21.02980  172.18056      3.349    24.3565     0.0226    88.4918 2.9225e+02    35.2768    206.086
 03 Nov 2019 00:37:12  -21.02980  172.18056      3.312    24.3559     0.0219    88.4859 2.7101e+02    35.2773    205.756
 03 Nov 2019 00:37:13  -21.02980  172.18056      3.811    24.3557     0.0137    88.5135 4.1626e+02    35.2779    205.537
 03 Nov 2019 00:37:14  -21.02980  172.18056      4.612    24.3557     0.0184    88.5213 4.8454e+02    35.2781    206.244
 03 Nov 2019 00:37:15  -21.02980  172.18056      4.867    24.3559     0.0183    88.4967 5.1672e+02    35.2780    206.366
 03 Nov 2019 00:37:16  -21.02978  172.18056      4.480    24.3563     0.0201    88.5075 5.6837e+02    35.2781    205.555
 03 Nov 2019 00:37:17  -21.02978  172.18054      3.822    24.3578     0.0232    88.5164 5.0134e+02    35.2777    205.938
 03 Nov 2019 00:37:18  -21.02978  172.18054      3.549    24.3578     0.0264    88.4859 2.9758e+02    35.2774    206.435
 03 Nov 2019 00:37:19  -21.02976  172.18054      3.901    24.3574     0.0222    88.5302 2.6362e+02    35.2778    206.714
 03 Nov 2019 00:37:20  -21.02976  172.18054      4.408    24.3570     0.0218    88.5282 3.7722e+02    35.2781    205.972
 03 Nov 2019 00:37:21  -21.02976  172.18054      4.544    24.3570     0.0221    88.4957 6.7485e+02    35.2782    205.497
 03 Nov 2019 00:37:22  -21.02976  172.18054      4.262    24.3574     0.0233    88.5144 3.4670e+02    35.2781    204.993
 03 Nov 2019 00:37:23  -21.02976  172.18054      3.901    24.3578     0.0199    88.5341 3.2632e+02    35.2780    205.121
 03 Nov 2019 00:37:24  -21.02976  172.18054      3.692    24.3581     0.0197    88.5302 4.4647e+02    35.2779    206.099
 03 Nov 2019 00:37:25  -21.02974  172.18054      3.534    24.3580     0.0248    88.5046 9.8575e+02    35.2779    206.346
 03 Nov 2019 00:37:26  -21.02974  172.18054      3.472    24.3579     0.0223    88.5065 1.4257e+03    35.2780    206.310
 03 Nov 2019 00:37:27  -21.02974  172.18052      3.710    24.3573     0.0130    88.5292 1.3479e+03    35.2780    207.151
 03 Nov 2019 00:37:28  -21.02974  172.18052      4.145    24.3570     0.0116    88.5479 1.0819e+03    35.2781    207.047
 03 Nov 2019 00:37:29  -21.02974  172.18052      4.419    24.3571     0.0168    88.5597 4.7721e+02    35.2780    206.045
 03 Nov 2019 00:37:30  -21.02974  172.18052      4.630    24.3567     0.0170    88.5518 4.8714e+02    35.2782    205.586
 03 Nov 2019 00:37:31  -21.02972  172.18052      4.630    24.3571     0.0151    88.5420 5.1364e+02    35.2781    206.056
 03 Nov 2019 00:37:32  -21.02972  172.18052      4.169    24.3572     0.0171    88.5469 6.8921e+02    35.2781    204.802
 03 Nov 2019 00:37:33  -21.02972  172.18052      3.372    24.3575     0.0125    88.5302 1.4932e+03    35.2777    205.814
 03 Nov 2019 00:37:34  -21.02970  172.18052      2.950    24.3574     0.0160    88.4003 1.4373e+03    35.2773    206.911
 03 Nov 2019 00:37:35  -21.02970  172.18052      3.600    24.3567     0.0183    88.5331 9.1331e+02    35.2781    207.285
 03 Nov 2019 00:37:36  -21.02970  172.18052      4.754    24.3570     0.0174    88.5400 6.2144e+02    35.2783    207.131
 03 Nov 2019 00:37:37  -21.02970  172.18050      6.088    24.3571     0.0134    88.5213 8.9575e+02    35.2784    206.073
 03 Nov 2019 00:37:38  -21.02970  172.18050      6.287    24.3575     0.0167    88.4071 9.7690e+02    35.2783    205.025
 03 Nov 2019 00:37:39  -21.02970  172.18050      5.354    24.3580     0.0173    88.2674 1.0086e+03    35.2782    205.953
 03 Nov 2019 00:37:40  -21.02970  172.18050      4.621    24.3577     0.0206    88.2320 1.3128e+03    35.2779    207.262
 03 Nov 2019 00:37:41  -21.02970  172.18050      4.657    24.3577     0.0213    88.4199 1.4215e+03    35.2783    207.049
 03 Nov 2019 00:37:42  -21.02968  172.18050      5.186    24.3574     0.0195    88.5085 1.1422e+03    35.2785    206.428
 03 Nov 2019 00:37:43  -21.02968  172.18050      5.659    24.3567     0.0209    88.5233 1.1157e+03    35.2784    206.370
 03 Nov 2019 00:37:44  -21.02968  172.18050      5.671    24.3568     0.0187    88.4869 1.1187e+03    35.2785    206.570
 03 Nov 2019 00:37:45  -21.02966  172.18050      5.370    24.3569     0.0202    88.3481 1.5853e+03    35.2784    206.074
 03 Nov 2019 00:37:46  -21.02966  172.18048      5.147    24.3573     0.0183    88.4485 1.2110e+03    35.2784    206.249
 03 Nov 2019 00:37:47  -21.02966  172.18048      5.162    24.3572     0.0194    88.4416 1.0692e+03    35.2784    207.140
 03 Nov 2019 00:37:48  -21.02966  172.18048      5.345    24.3569     0.0210    88.5036 1.1418e+03    35.2784    207.085
 03 Nov 2019 00:37:49  -21.02966  172.18048      5.704    24.3565     0.0203    88.5430 8.9310e+02    35.2785    207.048
 03 Nov 2019 00:37:50  -21.02966  172.18048      6.072    24.3556     0.0226    88.5449 5.0825e+02    35.2784    206.852
 03 Nov 2019 00:37:51  -21.02966  172.18048      6.241    24.3561     0.0226    88.4987 4.6492e+02    35.2785    206.360
 03 Nov 2019 00:37:52  -21.02964  172.18048      6.057    24.3560     0.0225    88.5272 7.2714e+02    35.2785    206.018
 03 Nov 2019 00:37:53  -21.02964  172.18048      5.523    24.3564     0.0202    88.5223 8.2817e+02    35.2786    206.410
 03 Nov 2019 00:37:54  -21.02964  172.18048      4.811    24.3571     0.0191    88.5065 1.2685e+03    35.2785    206.410
 03 Nov 2019 00:37:55  -21.02964  172.18046      4.482    24.3570     0.0182    88.5105 1.3504e+03    35.2784    206.858
 03 Nov 2019 00:37:56  -21.02962  172.18046      4.796    24.3571     0.0235    88.5223 1.3977e+03    35.2784    207.130
 03 Nov 2019 00:37:57  -21.02962  172.18046      5.303    24.3564     0.0207    88.5203 1.0152e+03    35.2785    207.119
 03 Nov 2019 00:37:58  -21.02962  172.18046      5.627    24.3564     0.0182    88.5351 9.5722e+02    35.2786    206.887
 03 Nov 2019 00:37:59  -21.02962  172.18046      5.922    24.3566     0.0187    88.5410 1.0046e+03    35.2787    206.529
 03 Nov 2019 00:38:00  -21.02962  172.18046      5.987    24.3567     0.0170    88.5272 1.0235e+03    35.2786    207.027
 03 Nov 2019 00:38:01  -21.02960  172.18046      5.594    24.3568     0.0147    88.5381 7.4096e+02    35.2785    207.193
 03 Nov 2019 00:38:02  -21.02960  172.18046      5.172    24.3567     0.0145    88.5292 9.3241e+02    35.2786    206.780
 03 Nov 2019 00:38:03  -21.02960  172.18046      5.121    24.3566     0.0170    88.5371 9.3053e+02    35.2788    207.197
 03 Nov 2019 00:38:04  -21.02960  172.18046      5.533    24.3558     0.0177    88.5312 8.6496e+02    35.2787    207.287
 03 Nov 2019 00:38:05  -21.02960  172.18044      5.987    24.3555     0.0187    88.5479 5.9752e+02    35.2788    206.934
 03 Nov 2019 00:38:06  -21.02960  172.18044      5.848    24.3559     0.0187    88.5144 6.8398e+02    35.2786    207.159
 03 Nov 2019 00:38:07  -21.02960  172.18044      5.266    24.3561     0.0180    88.5331 6.4868e+02    35.2787    206.914
 03 Nov 2019 00:38:08  -21.02958  172.18044      4.832    24.3560     0.0184    88.5213 7.3235e+02    35.2787    206.797
 03 Nov 2019 00:38:09  -21.02958  172.18044      4.875    24.3560     0.0181    88.5223 8.6886e+02    35.2787    207.068
